county,display,fips,state,slug
Adams,"Adams, PA",42001,PA,adams-pa
Adams,"Adams, PE",21001,PE,adams-pe
Allegany,"Allegany, MD",24001,MD,allegany-md
Accomack,"Accomack, VA",51001,VA,accomack-va
Albemarle,"Albemarle, VA",51003,VA,albemarle-va
Alexandria City,"Alexandria City, VA",51510,VA,alexandria-city-va
Alleghany,"Alleghany, VA",51005,VA,alleghany-va
Amelia,"Amelia, VA",51007,VA,amelia-va
Amherst,"Amherst, VA",51009,VA,amherst-va
Allegheny,"Allegheny, PA",42003,PA,allegheny-pa
Arlington,"Arlington, VA",51013,VA,arlington-va
Anne Arundel,"Anne Arundel, MD",24003,MD,anne-arundel-md
Appomattox,"Appomattox, VA",51011,VA,appomattox-va
Atlantic,"Atlantic, NJ",34001,NJ,atlantic-nj
Armstrong,"Armstrong, PA",42005,PA,armstrong-pa
Augusta,"Augusta, VA",51015,VA,augusta-va
Baltimore,"Baltimore, MD",24005,MD,baltimore-md
Baltimore City,"Baltimore City, MD",24510,MD,baltimore-city-md
Barbour,"Barbour, WV",54001,WV,barbour-wv
Bath,"Bath, VA",51017,VA,bath-va
Bedford,"Bedford, VA",51019,VA,bedford-va
Beaver,"Beaver, PA",42007,PA,beaver-pa
Bedford,"Bedford, PA",42009,PA,bedford-pa
Blair,"Blair, PA",42013,PA,blair-pa
Berkeley,"Berkeley, WV",54003,WV,berkeley-wv
Berks,"Berks, PA",42011,PA,berks-pa
Bland,"Bland, VA",51021,VA,bland-va
Bradford,"Bradford, PA",42015,PA,bradford-pa
Botetourt,"Botetourt, VA",51023,VA,botetourt-va
Bergen,"Bergen, NJ",34003,NJ,bergen-nj
Braxton,"Braxton, WV",54007,WV,braxton-wv
Cabell,"Cabell, WV",54011,WV,cabell-wv
Calvert,"Calvert, MD",24009,MD,calvert-md
Brooke,"Brooke, WV",54009,WV,brooke-wv
Brunswick,"Brunswick, VA",51025,VA,brunswick-va
Butler,"Butler, PA",42019,PA,butler-pa
Bucks,"Bucks, 0",,0,bucks-0
Burlington,"Burlington, NJ",34005,NJ,burlington-nj
Bucks,"Bucks, PA",42017,PA,bucks-pa
Buckingham,"Buckingham, VA",51029,VA,buckingham-va
Cambria,"Cambria, PA",42021,PA,cambria-pa
Camden,"Camden, NJ",34007,NJ,camden-nj
Camden,"Camden, 0",,0,camden-0
Carroll,"Carroll, MD",24013,MD,carroll-md
Campbell,"Campbell, VA",51031,VA,campbell-va
Cameron,"Cameron, PA",42023,PA,cameron-pa
Cape May,"Cape May, NJ",34009,NJ,cape-may-nj
Carbon,"Carbon, PA",42025,PA,carbon-pa
Caroline,"Caroline, VA",51033,VA,caroline-va
Caroline,"Caroline, MD",24011,MD,caroline-md
Cecil,"Cecil, MD",24015,MD,cecil-md
Centre,"Centre, IA",1019,IA,centre-ia
Centre,"Centre, PA",42027,PA,centre-pa
Centre,"Centre, ID",1019,ID,centre-id
Carroll,"Carroll, PA",42029,PA,carroll-pa
Charles,"Charles, MD",24017,MD,charles-md
Chesterfield,"Chesterfield, VA",51041,VA,chesterfield-va
Chester,"Chester, PA",42029,PA,chester-pa
Chesapeake City,"Chesapeake City, VA",51550,VA,chesapeake-city-va
Charles City,"Charles City, VA",51036,VA,charles-city-va
Charlotte,"Charlotte, VA",51037,VA,charlotte-va
Charlottesville City,"Charlottesville City, VA",51540,VA,charlottesville-city-va
Clarke,"Clarke, VA",51043,VA,clarke-va
Clearfield,"Clearfield, NY",36123,NY,clearfield-ny
Colonial Heights City,"Colonial Heights City, VA",51570,VA,colonial-heights-city-va
Clay,"Clay, WV",54015,WV,clay-wv
Clearfield,"Clearfield, PA",42033,PA,clearfield-pa
Columbia,"Columbia, PA",42037,PA,columbia-pa
Clarion,"Clarion, PA",42031,PA,clarion-pa
Clinton,"Clinton, PA",42035,PA,clinton-pa
Dauphin,"Dauphin, NC",42043,NC,dauphin-nc
Cumberland,"Cumberland, VA",51049,VA,cumberland-va
Cumberland,"Cumberland, NJ",34011,NJ,cumberland-nj
Dauphin,"Dauphin, MI",42043,MI,dauphin-mi
Crawford,"Crawford, PA",42039,PA,crawford-pa
Culpeper,"Culpeper, VA",51047,VA,culpeper-va
Cumberland,"Cumberland, PA",42041,PA,cumberland-pa
Dauphin,"Dauphin, PA",42043,PA,dauphin-pa
Dauphin,"Dauphin, IN",42043,IN,dauphin-in
Delaware,"Delaware, PA",42045,PA,delaware-pa
Essex,"Essex, VA",51057,VA,essex-va
Fairfax City,"Fairfax City, VA",51600,VA,fairfax-city-va
Dinwiddie,"Dinwiddie, VA",51053,VA,dinwiddie-va
Elk,"Elk, PA",42047,PA,elk-pa
Doddridge,"Doddridge, WV",54017,WV,doddridge-wv
Essex,"Essex, NJ",34013,NJ,essex-nj
Falls Church City,"Falls Church City, VA",51610,VA,falls-church-city-va
Dorchester,"Dorchester, MD",24019,MD,dorchester-md
Fairfax,"Fairfax, VA",51059,VA,fairfax-va
Erie,"Erie, PA",42049,PA,erie-pa
Fayette,"Fayette, PA",42051,PA,fayette-pa
Floyd,"Floyd, VA",51063,VA,floyd-va
Fauquier,"Fauquier, VA",51061,VA,fauquier-va
Fredericksburg City,"Fredericksburg City, VA",51630,VA,fredericksburg-city-va
Franklin,"Franklin, VA",51067,VA,franklin-va
Fluvanna,"Fluvanna, VA",51065,VA,fluvanna-va
Frederick,"Frederick, MD",24021,MD,frederick-md
Frederick,"Frederick, VA",51069,VA,frederick-va
Franklin,"Franklin, WA",53021,WA,franklin-wa
Franklin,"Franklin, PA",42055,PA,franklin-pa
Fulton,"Fulton, PA",42057,PA,fulton-pa
Garrett,"Garrett, MD",24023,MD,garrett-md
Grant,"Grant, WV",54023,WV,grant-wv
Goochland,"Goochland, VA",51075,VA,goochland-va
Gloucester,"Gloucester, NJ",34015,NJ,gloucester-nj
Gloucester,"Gloucester, VA",51073,VA,gloucester-va
Gilmer,"Gilmer, WV",54021,WV,gilmer-wv
Greenbrier,"Greenbrier, WV",54025,WV,greenbrier-wv
Greene,"Greene, PA",42059,PA,greene-pa
Grayson,"Grayson, VA",51077,VA,grayson-va
Halifax,"Halifax, VA",51083,VA,halifax-va
Greene,"Greene, VA",51079,VA,greene-va
Greensville,"Greensville, VA",51081,VA,greensville-va
Hancock,"Hancock, WV",54029,WV,hancock-wv
Hampshire,"Hampshire, WV",54027,WV,hampshire-wv
Hampton City,"Hampton City, VA",51650,VA,hampton-city-va
Harford,"Harford, MD",24025,MD,harford-md
Harrison,"Harrison, WV",54033,WV,harrison-wv
Hanover,"Hanover, VA",51085,VA,hanover-va
Hardy,"Hardy, WV",54031,WV,hardy-wv
Highland,"Highland, VA",51091,VA,highland-va
Hudson,"Hudson, NJ",34017,NJ,hudson-nj
Howard,"Howard, MD",24027,MD,howard-md
Hunterdon,"Hunterdon, NJ",34019,NJ,hunterdon-nj
Henrico,"Henrico, VA",51087,VA,henrico-va
Hopewell City,"Hopewell City, VA",51670,VA,hopewell-city-va
Henry,"Henry, VA",51089,VA,henry-va
Harrisonburg City,"Harrisonburg City, VA",51660,VA,harrisonburg-city-va
Huntingdon,"Huntingdon, NY",42061,NY,huntingdon-ny
Huntingdon,"Huntingdon, PA",42061,PA,huntingdon-pa
Indiana,"Indiana, PA",42063,PA,indiana-pa
King And Queen,"King And Queen, VA",51097,VA,king-and-queen-va
Kent,"Kent, DE",10001,DE,kent-de
Isle Of Wight,"Isle Of Wight, VA",51093,VA,isle-of-wight-va
Juniata,"Juniata, MS",28085,MS,juniata-ms
Jefferson,"Jefferson, WV",54037,WV,jefferson-wv
Jefferson,"Jefferson, PA",42065,PA,jefferson-pa
Kent,"Kent, MD",24029,MD,kent-md
Juniata,"Juniata, PA",42067,PA,juniata-pa
James City,"James City, VA",51095,VA,james-city-va
Lebanon,"Lebanon, PA",42075,PA,lebanon-pa
King George,"King George, VA",51099,VA,king-george-va
Lehigh,"Lehigh, PA",42077,PA,lehigh-pa
Lancaster,"Lancaster, VA",51103,VA,lancaster-va
